,feature,importance,fold
0,Unnamed: 0,439,1
1,feature_1,47,1
2,month,154,1
3,elapsed_time,335,1
4,hist_authorized_flag_mean,770,1
5,hist_card_id_count,127,1
6,hist_category_1_sum,509,1
7,hist_category_1_mean,369,1
8,hist_category_1_std,396,1
9,hist_category_2_1.0_sum,250,1
10,hist_category_2_4.0_sum,86,1
11,hist_category_2_4.0_mean,59,1
12,hist_category_3_A_sum,134,1
13,hist_category_3_A_mean,69,1
14,hist_category_3_B_sum,310,1
15,hist_category_3_B_mean,145,1
16,hist_category_3_C_sum,259,1
17,hist_category_3_C_mean,209,1
18,hist_month_nunique,831,1
19,hist_hour_mean,407,1
20,hist_weekofyear_mean,335,1
21,hist_weekofyear_nunique,334,1
22,hist_day_nunique,153,1
23,hist_day_mean,326,1
24,hist_dayofweek_mean,326,1
25,hist_weekend_sum,132,1
26,hist_weekend_mean,342,1
27,hist_duration_min,202,1
28,hist_duration_max,243,1
29,hist_price_sum,125,1
30,hist_price_mean,211,1
31,hist_price_max,226,1
32,hist_price_min,217,1
33,hist_price_var,403,1
34,hist_amount_month_ratio_max,234,1
35,hist_amount_month_ratio_min,232,1
36,hist_installments_sum,314,1
37,hist_installments_max,68,1
38,hist_installments_var,210,1
39,hist_installments_mean,226,1
40,hist_merchant_category_id_nunique,199,1
41,hist_merchant_id_nunique,274,1
42,hist_purchase_amount_mean,272,1
43,hist_purchase_amount_max,156,1
44,hist_purchase_amount_min,128,1
45,hist_purchase_amount_median,307,1
46,hist_purchase_date_max,543,1
47,hist_purchase_date_min,527,1
48,hist_purchase_date_ptp,574,1
49,hist_time_since_purchase_date_min,521,1
50,hist_time_since_purchase_date_max,249,1
51,hist_time_since_purchase_date_mean,493,1
52,hist_month_lag_min,101,1
53,hist_month_lag_max,66,1
54,hist_month_lag_mean,490,1
55,hist_month_lag_var,546,1
56,hist_month_lag_ptp,128,1
57,hist_month_diff_mean,1014,1
58,hist_month_diff_min,136,1
59,hist_month_diff_max,219,1
60,hist_month_diff_var,303,1
61,hist_store_size_min,184,1
62,hist_store_size_mean,378,1
63,hist_city_size_min,257,1
64,hist_city_size_mean,262,1
65,hist_state_size_mean,236,1
66,hist_subsector_size_min,206,1
67,hist_subsector_size_max,42,1
68,hist_subsector_size_mean,351,1
69,hist_category_size_min,350,1
70,hist_category_size_max,38,1
71,hist_category_size_mean,327,1
72,new_card_id_count,60,1
73,new_category_1_sum,346,1
74,new_category_1_mean,458,1
75,new_category_2_1.0_mean,87,1
76,new_category_3_A_sum,178,1
77,new_category_3_B_mean,136,1
78,new_month_nunique,4,1
79,new_weekofyear_nunique,66,1
80,new_day_nunique,51,1
81,new_day_ptp,172,1
82,new_day_mean,779,1
83,new_duration_min,161,1
84,new_duration_max,211,1
85,new_price_sum,152,1
86,new_price_mean,93,1
87,new_price_max,137,1
88,new_price_min,121,1
89,new_price_var,227,1
90,new_amount_month_ratio_max,194,1
